employeeId,firstName,lastName,managerId,fullName,email,department,region,location,inactiveIdentity,jobtitle,costcenter
1a2a3d4e,Carol,Adams,1a2a3d,Carol.Adams,Carol.Adams@demoexample,Engineering,Americas,Austin,FALSE,Production Test Engineer I,"R03e, L07e"
1a2a3c4a,Mark,Allen,1a2a3c,Mark.Allen,Mark.Allen@demoexample,Engineering,Americas,Austin,FALSE,Production Developer I,"R03e, L07e"
1c2c3c4b,Tiffany,Alvarez,1c2c3c,Tiffany.Alvarez,Tiffany.Alvarez@demoexample,Finance,Asia-Pacific,Taipei,FALSE,Financial Systems Analyst,"R02e, L06e"
1a2b3c,David,Anderson,1a2b,David.Anderson,David.Anderson@demoexample,Inventory,Americas,Brazil,FALSE,Procurement Manager,"R03e, L09"
1c2a3c4e,Shawn,Andrews,1c2a3c,Shawn.Andrews,Shawn.Andrews@demoexample,Engineering,Asia-Pacific,Singapore,FALSE,Product Developer III,"R02e, L04e"
1c2a3d4e,Norma,Armstrong,1c2a3d,Norma.Armstrong,Norma.Armstrong@demoexample,Engineering,Asia-Pacific,Singapore,FALSE,QA Analyst,"R02e, L04e"
1c2a3a4b,Anne,Arnold,1c2a3a,Anne.Arnold,Anne.Arnold@demoexample,Information Technology,Asia-Pacific,Singapore,FALSE,Helpdesk Associate,"R02e, L04e"
1a2b3a4a,Edward,Baker,1a2b3a,Edward.Baker,Edward.Baker@demoexample,Human Resources,Americas,Brazil,FALSE,Recruiter,"R03e, L09e"
1c2c3b4b,Nathan,Banks,1c2c3b,Nathan.Banks,Nathan.Banks@demoexample,Accounting,Asia-Pacific,Taipei,FALSE,Tax Accountant,"R02e, L06e"
1b2b,Dennis,Barnes,1b,Dennis.Barnes,Dennis.Barnes@demoexample,Regional Operations,Europe,Munich,FALSE,,"R01, L02"
1a2c3a4b,Angela,Bell,1a2c3a,Angela.Bell,Angela.Bell@demoexample,Accounting,Americas,San Jose,FALSE,,"R03e, L08e"
1b,Jerry,Bennett,NULL,Jerry.Bennett,Jerry.Bennett@demoexample,Executive Management,Europe,Brussels,FALSE,,"R01, L01, L02, L03"
1c2c3d,Sara,Berry,1c2c,Sara.Berry,Sara.Berry@demoexample,Finance,Asia-Pacific,Taipei,FALSE,Financial Systems Analyst,"R02e, L06"
1b2c3d4b,Louis,Black,1b2c3d,Louis.Black,Louis.Black@demoexample,Finance,Europe,London,FALSE,Treasury Analyst,"R01e, L03e"
1b2c3a4b,Kelly,Boyd,1b2c3a,Kelly.Boyd,Kelly.Boyd@demoexample,Accounting,Europe,London,FALSE,Payroll Analyst I,"R01e, L03e"
1a2c3d4b,Gregory,Brooks,1a2c3d,Gregory.Brooks,Gregory.Brooks@demoexample,Finance,Americas,San Jose,FALSE,Data Analyst,"R03e, L08e"
1a2a3a,Robert,Brown,1a2a,Robert.Brown,Robert.Brown@demoexample,Information Technology,Americas,Austin,FALSE,IT Database Manager,"R03e, L07"
1b2c3b4e,Kathy,Burns,1b2c3b,Kathy.Burns,Kathy.Burns@demoexample,Accounting,Europe,London,FALSE,Payroll Analyst I,"R01e, L03e"
1b2c3c,Henry,Butler,1b2c,Henry.Butler,Henry.Butler@demoexample,Finance,Europe,London,FALSE,Treasury Analyst,"R01e, L03"
1a2b3b4e,Sarah,Campbell,1a2b3b,Sarah.Campbell,Sarah.Campbell@demoexample,Human Resources,Americas,Brazil,FALSE,Training & Development Specialist,"R03e, L09e"
1c2b3a4a,Philip,Carpenter,1c2b3a,Philip.Carpenter,Philip.Carpenter@demoexample,Human Resources,Asia-Pacific,Tokyo,FALSE,Benefits Manager,"R02e, L05e"
1c2b3d4b,Tony,Carr,1c2b3d,Tony.Carr,Tony.Carr@demoexample,Inventory,Asia-Pacific,Tokyo,FALSE,Receiving Analyst,"R02e, L05e"
1c2c3a4a,Mike,Chapman,1c2c3a,Mike.Chapman,Mike.Chapman@demoexample,Accounting,Asia-Pacific,Taipei,FALSE,Tax Accountant,"R02e, L06e"
1c2b3b4a,Annie,Chavez,1c2b3b,Annie.Chavez,Annie.Chavez@demoexample,Human Resources,Asia-Pacific,Tokyo,FALSE,Benefits Manager,"R02e, L05e"
1a2a3a4e,Christopher,Clark,1a2a3a,Christopher.Clark,Christopher.Clark@demoexample,Information Technology,Americas,Austin,FALSE,SQL Server Administrator,"R03e, L07e"
1b2a3d4a,Teresa,Cole,1b2a3d,Teresa.Cole,Teresa.Cole@demoexample,Engineering,Europe,Brussels,TRUE,Staging Test Engineer I,"R01e, L01e"
1b2a3b,Stephanie,Coleman,1b2a,Stephanie.Coleman,Stephanie.Coleman@demoexample,Information Technology,Europe,Brussels,FALSE,Telecommunications and Network Manager,"R01e, L01"
1a2b3d4e,Cynthia,Cook,1a2b3d,Cynthia.Cook,Cynthia.Cook@demoexample,Inventory,Americas,Brazil,FALSE,Cost Savings Analyst,"R03e, L09e"
1a2c3b4a,Brenda,Cooper,1a2c3b,Brenda.Cooper,Brenda.Cooper@demoexample,Accounting,Americas,San Jose,FALSE,AR Accounting Manager,"R03e, L08e"
1b2b3d4e,Janice,Crawford,1b2b3d,Janice.Crawford,Janice.Crawford@demoexample,Inventory,Europe,Munich,FALSE,Procurement Buyer,"R01e, L02e"
1b2b3b4a,Cheryl,Cruz,1b2b3b,Cheryl.Cruz,Cheryl.Cruz@demoexample,Human Resources,Europe,Munich,FALSE,Employee Relations Manager,"R01e, L02e"
1c2a3c4b,Ruby,Cunningham,1c2a3c,Ruby.Cunningham,Ruby.Cunningham@demoexample,Engineering,Asia-Pacific,Singapore,FALSE,Product Developer II,"R02e, L04e"
1a2a3b,Linda,Davis,1a2a,Linda.Davis,Linda.Davis@demoexample,Information Technology,Americas,Austin,FALSE,Information Security Analyst,"R03e, L07"
1b2a3b4b,Roger,Diaz,1b2a3b,Roger.Diaz,Roger.Diaz@demoexample,Information Technology,Europe,Brussels,FALSE,Network Systems Administrator,"R01e, L01e"
1b2c3b4b,Harry,Dixon,1b2c3b,Harry.Dixon,Harry.Dixon@demoexample,Accounting,Europe,London,FALSE,Senior Payroll Analyst,"R01e, L03e"
